Url Name,Project ID,File ID,File Name
applied-energistics-2,223794,2543840,appliedenergistics2-rv5-stable-11.jar
appleskin,248787,2496585,AppleSkin-mc1.12-1.0.9.jar
ae2-stuff,225194,2491032,ae2stuff-0.7.0.4-mc1.12.2.jar
angel-ring-to-bauble,256224,2518561,angelRingToBauble-1.12-0.3.1.50+d4e654e.jar
actually-additions,228404,2542819,ActuallyAdditions-1.12.2-r133.jar
baubles,227083,2518667,Baubles-1.12-1.5.2.jar
aroma1997core,223735,2541341,Aroma1997Core-1.12.2-2.0.0.0.b148.jar
aroma1997s-dimensional-world,60092,2543387,Aroma1997s-Dimensional-World-1.12.2-2.0.0.2.b68.jar
better-builders-wands,238403,2443194,BetterBuildersWands-1.12-0.11.1.245+69d0d70.jar
bdlib,70496,2518031,bdlib-1.14.3.12-mc1.12.2.jar
common-capabilities,247007,2467504,CommonCapabilities-1.12-1.4.0.jar
chest-transporter,78778,2524058,ChestTransporter-1.12.2-2.8.8.jar
controlling,250398,2522248,Controlling-3.0.6.jar
compact-solars,228759,2497832,CompactSolars-1.12.2-5.0.17.340-universal.jar
cyclops-core,232758,2540388,CyclopsCore-1.12.2-0.11.5.jar
fast-leaf-decay,230976,2463272,FastLeafDecay-v14.jar
hwyla,253449,2545475,Hwyla-1.8.25-B40_1.12.jar
industrial-craft,242638,2550518,industrialcraft-2-2.8.75-ex112.jar
integrated-dynamics,236307,2549070,IntegratedDynamics-1.12.2-0.11.10.jar
integrated-tunnels,251389,2543770,IntegratedTunnels-1.12.2-1.5.5.jar
inventory-tweaks,223094,2514356,InventoryTweaks-1.64-dev.jar
iron-backpacks,227049,2524324,IronBackpacks-1.12.2-3.0.5-6.jar
iron-chests,228756,2550378,ironchest-1.12.2-7.0.42.827.jar
mantle,74924,2550550,Mantle-1.12-1.3.2.24.jar
just-enough-resources-jer,240630,2523823,JustEnoughResources-1.12.2-0.8.7.41.jar
mcjtylib,233105,2543038,mcjtylib-1.12-2.6.7.jar
redstone-flux,270789,2448933,RedstoneFlux-1.12-2.0.1.2-universal.jar
stimmedcow-nomorerecipeconflict,238123,2529891,NoMoreRecipeConflict-0.10(1.12.2).jar
tinkers-construct,74072,2530200,TConstruct-1.12.2-2.9.1.65.jar
mouse-tweaks,60089,2462627,MouseTweaks-2.8-mc1.12.1.jar
tinkers-tool-leveling,250957,2507887,TinkerToolLeveling-1.12-1.0.3.jar
tinker-i-o,229503,2537766,tinker_io-1.12.2-release 2.6.1.jar
waila-harvestability,79287,2481605,WailaHarvestability-mc1.12-1.1.12.jar
veinminer,67133,2457081,VeinMiner-1.12-0.38.1.639+134fb1e.jar
waystones,245755,2545165,Waystones_1.12.2-4.0.33.jar
xnet,260912,2549094,xnet-1.12-1.6.9.jar
jglrxavpoks-uncrafting-table,254993,2480822,[1.12]UncraftingTable-1.8-beta6.jar
autowalk,247759,2486472,autowalk-1.12.2-1.0.jar
foamfix-for-minecraft,278494,2548754,foamfix-0.9.6-1.12.2-anarchy.jar
jei,238222,2536307,jei_1.12.2-4.8.5.159.jar
just-enough-characters,250702,2518244,JustEnoughCharacters-1.12.0-2.2.2.jar
tatw,263980,2539714,Tatw-1.12.2-1.0.1.2.b24.jar
tool-belt,260262,2461671,ToolBelt-1.12.0-1.7.1.jar
torohealth-damage-indicators,245733,2483817,torohealth-1.12.2-11.jar
the-twilight-forest,227639,2528109,twilightforest-1.12.2-3.6.345-universal.jar
texfix,283344,2518068,TexFix V-1.12-4.0.jar
